"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Verify Entitlements Page","chromium","2026-06-01","skipped","2026-06-01","Leave Module Tests","leave\leave.spec.js","",""
"","12103","Verify Dashboard Loads API Data","chromium","2026-06-01","passed","2026-06-01","API Mocking Tests","api\api.spec.js","",""
"","12347","Verify User Role Dropdown Visible","firefox","2026-06-01","passed","2026-06-01","Admin Module Tests","admin\admin.spec.js","",""
"","12639","@regression Invalid Password","chromium","2026-06-01","passed","2026-06-01","Authentication Tests","auth\login.spec.js","",""
"","10723","Verify Leave List Menu Visible","firefox","2026-06-01","passed","2026-06-01","Leave Module Tests","leave\leave.spec.js","",""
"","9425","Verify Time At Work Widget Visible","webkit","2026-06-01","passed","2026-06-01","Dashboard Module Tests","dashboard\dashboard.spec.js","",""
"","6866","Verify Username Field Visible","chromium","2026-06-01","passed","2026-06-01","Admin Module Tests","admin\admin.spec.js","",""
"","15768","Verify Search Form Visible","chromium","2026-06-01","passed","2026-06-01","Admin Module Tests","admin\admin.spec.js","",""
"","7960","@sanity Login Button Visible","webkit","2026-06-01","passed","2026-06-01","Authentication Tests","auth\login.spec.js","",""
"","921","get started link","chromium","2026-05-24","passed","2026-05-24","","example.spec.js","",""
"","4906","@sanity OrangeHRM Logo Visible","webkit","2026-06-01","passed","2026-06-01","Authentication Tests","auth\login.spec.js","",""
"","7091","Verify Assign Leave Page","chromium","2026-06-01","passed","2026-06-01","Leave Module Tests","leave\leave.spec.js","",""
"","16464","Verify Cancel Button Visible","firefox","2026-06-01","passed","2026-06-01","PIM Module Tests","pim\pim.spec.js","",""
"","7290","Invalid Login","chromium","2026-05-24","passed","2026-05-24","OrangeHRM Login Tests","auth\login.spec.js","",""
"","4936","@regression Empty Credentials","webkit","2026-06-01","passed","2026-06-01","Authentication Tests","auth\login.spec.js","",""
"","2195","has title","firefox","2026-05-24","passed","2026-05-24","","example.spec.js","",""
"","7787","@regression Password With Spaces","webkit","2026-06-01","passed","2026-06-01","Authentication Tests","auth\login.spec.js","",""
"","0","Add New Employee","chromium","2026-06-01","skipped","2026-06-01","PIM Module Tests","pim\pim.spec.js","",""
"","6328","@sanity Password Mask Validation","chromium","2026-06-01","passed","2026-06-01","Authentication Tests","auth\login.spec.js","",""
"","1420","has title","webkit","2026-05-24","passed","2026-05-24","","example.spec.js","",""
"","8177","Verify Save Button Enabled","firefox","2026-06-01","passed","2026-06-01","My Info Module Tests","myinfo\myinfo.spec.js","",""
"","8077","Verify Last Name Field Visible","chromium","2026-06-01","passed","2026-06-01","My Info Module Tests","myinfo\myinfo.spec.js","",""
"","13874","Verify Records Table Visible","firefox","2026-06-01","passed","2026-06-01","Admin Module Tests","admin\admin.spec.js","",""
"","0","Verify My Leave Page","chromium","2026-06-01","skipped","2026-06-01","Leave Module Tests","leave\leave.spec.js","",""
"","8493","Validate Employee Table Count","firefox","2026-06-01","passed","2026-06-01","PIM Module Tests","pim\pim.spec.js","",""
"","6295","Leave Menu Visible","webkit","2026-06-01","passed","2026-06-01","Navigation Tests","navigation\navigation.spec.js","",""
"","15017","Verify First Name Enabled","firefox","2026-06-01","passed","2026-06-01","My Info Module Tests","myinfo\myinfo.spec.js","",""
