"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9085","Verify Save Button Visible","chromium","2026-06-03","passed","2026-06-03","PIM Module Tests","pim/pim.spec.js","",""
"","3411","@sanity Password Field Visible","chromium","2026-06-03","passed","2026-06-03","Authentication Tests","auth/login.spec.js","",""
"","7148","Verify Add Button Enabled","chromium","2026-06-03","passed","2026-06-03","Recruitment Module Tests","recruitment/recruitment.spec.js","",""
"","7375","Verify Employee Name Field Visible","chromium","2026-06-03","passed","2026-06-03","Admin Module Tests","admin/admin.spec.js","",""
"","6799","Verify Save Button Enabled","chromium","2026-06-03","passed","2026-06-03","My Info Module Tests","myinfo/myinfo.spec.js","",""
"","7002","Verify My Info Page Loaded","chromium","2026-06-03","passed","2026-06-03","My Info Module Tests","myinfo/myinfo.spec.js","",""
"","5519","Verify Recruitment Menu Visible","chromium","2026-06-03","passed","2026-06-03","Recruitment Module Tests","recruitment/recruitment.spec.js","",""
"","8703","Search Empty Employee","chromium","2026-06-03","passed","2026-06-03","PIM Module Tests","pim/pim.spec.js","",""
"","1","Verify My Leave Page","chromium","2026-06-03","skipped","2026-06-03","Leave Module Tests","leave/leave.spec.js","",""
"","3867","@regression Empty Username","chromium","2026-06-03","passed","2026-06-03","Authentication Tests","auth/login.spec.js","",""
"","3403","@sanity Password Mask Validation","chromium","2026-06-03","passed","2026-06-03","Authentication Tests","auth/login.spec.js","",""
"","6814","Verify Employee ID Field Visible","chromium","2026-06-03","passed","2026-06-03","My Info Module Tests","myinfo/myinfo.spec.js","",""
"","5283","Verify Dashboard Menu Visible","chromium","2026-06-03","passed","2026-06-03","Dashboard Module Tests","dashboard/dashboard.spec.js","",""
"","7028","Verify Middle Name Field Visible","chromium","2026-06-03","passed","2026-06-03","My Info Module Tests","myinfo/myinfo.spec.js","",""
"","5637","Verify Employee Distribution Widget Visible","chromium","2026-06-03","passed","2026-06-03","Dashboard Module Tests","dashboard/dashboard.spec.js","",""
"","11640","Verify Add Employee Button Visible","chromium","2026-06-03","passed","2026-06-03","PIM Module Tests","pim/pim.spec.js","",""
"","3363","@sanity OrangeHRM Logo Visible","chromium","2026-06-03","passed","2026-06-03","Authentication Tests","auth/login.spec.js","",""
"","7889","Verify Search Button Visible","chromium","2026-06-03","passed","2026-06-03","Leave Module Tests","leave/leave.spec.js","",""
"","5774","Verify Buzz Widget Visible","chromium","2026-06-03","passed","2026-06-03","Dashboard Module Tests","dashboard/dashboard.spec.js","",""
"","8905","Verify Last Name Field Visible","chromium","2026-06-03","passed","2026-06-03","My Info Module Tests","myinfo/myinfo.spec.js","",""
"","44727","Verify First Name Required","chromium","2026-06-03","passed","2026-06-03","PIM Module Tests","pim/pim.spec.js","",""
"","5574","Verify Leave Menu Enabled","chromium","2026-06-03","passed","2026-06-03","Leave Module Tests","leave/leave.spec.js","",""
"","6739","Verify Leave List Menu Visible","chromium","2026-06-03","passed","2026-06-03","Leave Module Tests","leave/leave.spec.js","",""
"","6899","Verify Reset Button Visible","chromium","2026-06-03","passed","2026-06-03","Admin Module Tests","admin/admin.spec.js","",""
"","3790","@regression Username With Spaces","chromium","2026-06-03","passed","2026-06-03","Authentication Tests","auth/login.spec.js","",""
"","8573","Verify My Actions Widget Exists","chromium","2026-06-03","passed","2026-06-03","Dashboard Module Tests","dashboard/dashboard.spec.js","",""
"","7125","Verify Assign Leave Menu Visible","chromium","2026-06-03","passed","2026-06-03","Leave Module Tests","leave/leave.spec.js","",""
"","0","Add New Employee","chromium","2026-06-03","skipped","2026-06-03","PIM Module Tests","pim/pim.spec.js","",""
"","5481","Verify Time At Work Widget Exists","chromium","2026-06-03","passed","2026-06-03","Dashboard Module Tests","dashboard/dashboard.spec.js","",""
"","8438","Verify PIM Page Load","chromium","2026-06-03","passed","2026-06-03","PIM Module Tests","pim/pim.spec.js","",""
"","6501","Verify Reset Button Enabled","chromium","2026-06-03","passed","2026-06-03","Leave Module Tests","leave/leave.spec.js","",""
"","8300","Verify Candidates Page","chromium","2026-06-03","passed","2026-06-03","Recruitment Module Tests","recruitment/recruitment.spec.js","",""
"","5804","Verify Employees On Leave Widget Visible","chromium","2026-06-03","passed","2026-06-03","Dashboard Module Tests","dashboard/dashboard.spec.js","",""
"","6482","Verify Employee ID Enabled","chromium","2026-06-03","passed","2026-06-03","My Info Module Tests","myinfo/myinfo.spec.js","",""
"","5768","Verify Employee Location Widget Visible","chromium","2026-06-03","passed","2026-06-03","Dashboard Module Tests","dashboard/dashboard.spec.js","",""
"","12681","Verify Leave Page Loaded","chromium","2026-06-03","passed","2026-06-03","Leave Module Tests","leave/leave.spec.js","",""
"","7009","Verify Records Table Visible","chromium","2026-06-03","passed","2026-06-03","Admin Module Tests","admin/admin.spec.js","",""
"","1","Verify Leave Table Visible","chromium","2026-06-03","skipped","2026-06-03","Leave Module Tests","leave/leave.spec.js","",""
"","5730","Verify Dashboard Header Visible","chromium","2026-06-03","passed","2026-06-03","Dashboard Module Tests","dashboard/dashboard.spec.js","",""
"","9601","Reset Employee Search Filters","chromium","2026-06-03","passed","2026-06-03","PIM Module Tests","pim/pim.spec.js","",""
"","0","Delete Employee","chromium","2026-06-03","skipped","2026-06-03","PIM Module Tests","pim/pim.spec.js","",""
"","9440","Verify Employee ID Visible","chromium","2026-06-03","passed","2026-06-03","PIM Module Tests","pim/pim.spec.js","",""
"","7892","Verify Add User Page Loaded","chromium","2026-06-03","passed","2026-06-03","Admin Module Tests","admin/admin.spec.js","",""
"","5356","Verify Dashboard Menu Enabled","chromium","2026-06-03","passed","2026-06-03","Dashboard Module Tests","dashboard/dashboard.spec.js","",""
"","3580","@sanity Forgot Password Link Visible","chromium","2026-06-03","passed","2026-06-03","Authentication Tests","auth/login.spec.js","",""
"","6991","Verify Employee API Request Sent","chromium","2026-06-03","passed","2026-06-03","API Mocking Tests","api/api.spec.js","",""
"","3785","@regression Password With Spaces","chromium","2026-06-03","passed","2026-06-03","Authentication Tests","auth/login.spec.js","",""
"","6697","Verify Apply Menu Visible","chromium","2026-06-03","passed","2026-06-03","Leave Module Tests","leave/leave.spec.js","",""
"","7793","Validate Employee Table Count","chromium","2026-06-03","passed","2026-06-03","PIM Module Tests","pim/pim.spec.js","",""
"","11998","Verify Vacancies Page","chromium","2026-06-03","passed","2026-06-03","Recruitment Module Tests","recruitment/recruitment.spec.js","",""
"","6817","Verify Middle Name Enabled","chromium","2026-06-03","passed","2026-06-03","My Info Module Tests","myinfo/myinfo.spec.js","",""
"","6797","Verify Last Name Enabled","chromium","2026-06-03","passed","2026-06-03","My Info Module Tests","myinfo/myinfo.spec.js","",""
"","2","Verify Entitlements Page","chromium","2026-06-03","skipped","2026-06-03","Leave Module Tests","leave/leave.spec.js","",""
"","5435","Admin Menu Visible","chromium","2026-06-03","passed","2026-06-03","Navigation Tests","navigation/navigation.spec.js","",""
"","7799","Verify User Role Dropdown Visible","chromium","2026-06-03","passed","2026-06-03","Admin Module Tests","admin/admin.spec.js","",""
"","6815","Verify Form Visible","chromium","2026-06-03","passed","2026-06-03","My Info Module Tests","myinfo/myinfo.spec.js","",""
"","17741","Search Employee In Table","chromium","2026-06-03","passed","2026-06-03","PIM Module Tests","pim/pim.spec.js","",""
"","10071","Verify Assign Leave Page","chromium","2026-06-03","passed","2026-06-03","Leave Module Tests","leave/leave.spec.js","",""
"","10114","Verify Add Employee Page Loaded","chromium","2026-06-03","passed","2026-06-03","PIM Module Tests","pim/pim.spec.js","",""
"","3702","@sanity Login Page Title Validation","chromium","2026-06-03","passed","2026-06-03","Authentication Tests","auth/login.spec.js","",""
"","7105","Verify Search Button Enabled","chromium","2026-06-03","passed","2026-06-03","Recruitment Module Tests","recruitment/recruitment.spec.js","",""
"","5675","@smoke Valid Login","chromium","2026-06-03","passed","2026-06-03","Authentication Tests","auth/login.spec.js","",""
"","6999","Verify Dashboard Loads API Data","chromium","2026-06-03","passed","2026-06-03","API Mocking Tests","api/api.spec.js","",""
"","7360","Verify Username Field Visible","chromium","2026-06-03","passed","2026-06-03","Admin Module Tests","admin/admin.spec.js","",""
"","3725","@regression Empty Password","chromium","2026-06-03","passed","2026-06-03","Authentication Tests","auth/login.spec.js","",""
"","6742","Verify Search Button Visible","chromium","2026-06-03","passed","2026-06-03","Recruitment Module Tests","recruitment/recruitment.spec.js","",""
"","6918","Verify Leave Header Visible","chromium","2026-06-03","passed","2026-06-03","Leave Module Tests","leave/leave.spec.js","",""
"","6462","Verify System Users Header Visible","chromium","2026-06-03","passed","2026-06-03","Admin Module Tests","admin/admin.spec.js","",""
"","6775","Verify Header Visible","chromium","2026-06-03","passed","2026-06-03","Recruitment Module Tests","recruitment/recruitment.spec.js","",""
"","6780","Verify Reset Button Visible","chromium","2026-06-03","passed","2026-06-03","Recruitment Module Tests","recruitment/recruitment.spec.js","",""
"","7034","Verify Add Button Visible","chromium","2026-06-03","passed","2026-06-03","Recruitment Module Tests","recruitment/recruitment.spec.js","",""
"","3911","@regression Empty Credentials","chromium","2026-06-03","passed","2026-06-03","Authentication Tests","auth/login.spec.js","",""
"","7093","Verify Table Visible","chromium","2026-06-03","passed","2026-06-03","Recruitment Module Tests","recruitment/recruitment.spec.js","",""
"","1","Mock Employee API Response","chromium","2026-06-03","skipped","2026-06-03","API Mocking Tests","api/api.spec.js","",""
"","6682","Verify Add Button Enabled","chromium","2026-06-03","passed","2026-06-03","Admin Module Tests","admin/admin.spec.js","",""
"","5495","@regression Invalid Password","chromium","2026-06-03","passed","2026-06-03","Authentication Tests","auth/login.spec.js","",""
"","7990","Verify Leave List Page","chromium","2026-06-03","passed","2026-06-03","Leave Module Tests","leave/leave.spec.js","",""
"","6777","Verify Vacancies Tab Visible","chromium","2026-06-03","passed","2026-06-03","Recruitment Module Tests","recruitment/recruitment.spec.js","",""
"","5801","Verify Time At Work Widget Visible","chromium","2026-06-03","passed","2026-06-03","Dashboard Module Tests","dashboard/dashboard.spec.js","",""
"","5523","Verify Quick Launch Widget Visible","chromium","2026-06-03","passed","2026-06-03","Dashboard Module Tests","dashboard/dashboard.spec.js","",""
"","6578","Verify Candidates Tab Visible","chromium","2026-06-03","passed","2026-06-03","Recruitment Module Tests","recruitment/recruitment.spec.js","",""
"","8418","Verify Apply Leave Page","chromium","2026-06-03","passed","2026-06-03","Leave Module Tests","leave/leave.spec.js","",""
"","8825","Verify Reset Button Visible","chromium","2026-06-03","passed","2026-06-03","PIM Module Tests","pim/pim.spec.js","",""
"","7102","Verify Reset Button Visible","chromium","2026-06-03","passed","2026-06-03","Leave Module Tests","leave/leave.spec.js","",""
"","10292","Cancel Add Employee","chromium","2026-06-03","passed","2026-06-03","PIM Module Tests","pim/pim.spec.js","",""
"","5620","Leave Menu Visible","chromium","2026-06-03","passed","2026-06-03","Navigation Tests","navigation/navigation.spec.js","",""
"","8210","Verify Buzz Widget Exists","chromium","2026-06-03","passed","2026-06-03","Dashboard Module Tests","dashboard/dashboard.spec.js","",""
"","7636","Verify First Name Enabled","chromium","2026-06-03","passed","2026-06-03","My Info Module Tests","myinfo/myinfo.spec.js","",""
"","7855","Verify Quick Launch Widget Exists","chromium","2026-06-03","passed","2026-06-03","Dashboard Module Tests","dashboard/dashboard.spec.js","",""
"","6706","Verify Search Button Enabled","chromium","2026-06-03","passed","2026-06-03","Leave Module Tests","leave/leave.spec.js","",""
"","5656","PIM Menu Visible","chromium","2026-06-03","passed","2026-06-03","Navigation Tests","navigation/navigation.spec.js","",""
"","6573","Verify Form Visible","chromium","2026-06-03","passed","2026-06-03","Recruitment Module Tests","recruitment/recruitment.spec.js","",""
"","8068","Verify Recruitment Page Loaded","chromium","2026-06-03","passed","2026-06-03","Recruitment Module Tests","recruitment/recruitment.spec.js","",""
"","6659","Verify Profile Image Visible","chromium","2026-06-03","passed","2026-06-03","My Info Module Tests","myinfo/myinfo.spec.js","",""
"","7405","Verify Save Button Visible","chromium","2026-06-03","passed","2026-06-03","My Info Module Tests","myinfo/myinfo.spec.js","",""
"","5657","My Info Menu Visible","chromium","2026-06-03","passed","2026-06-03","Navigation Tests","navigation/navigation.spec.js","",""
"","5468","Verify Dashboard Loaded","chromium","2026-06-03","passed","2026-06-03","Dashboard Module Tests","dashboard/dashboard.spec.js","",""
"","1","Mock Dashboard Widget API","chromium","2026-06-03","skipped","2026-06-03","API Mocking Tests","api/api.spec.js","",""
"","7056","Verify First Name Field Visible","chromium","2026-06-03","passed","2026-06-03","My Info Module Tests","myinfo/myinfo.spec.js","",""
"","15079","Verify Employee List Page Loads","chromium","2026-06-03","passed","2026-06-03","PIM Module Tests","pim/pim.spec.js","",""
"","5645","Verify Admin Menu Visible","chromium","2026-06-03","passed","2026-06-03","Admin Module Tests","admin/admin.spec.js","",""
"","5522","Verify My Actions Widget Visible","chromium","2026-06-03","passed","2026-06-03","Dashboard Module Tests","dashboard/dashboard.spec.js","",""
"","7251","Verify Reset Button Enabled","chromium","2026-06-03","passed","2026-06-03","Recruitment Module Tests","recruitment/recruitment.spec.js","",""
"","5513","Dashboard Menu Visible","chromium","2026-06-03","passed","2026-06-03","Navigation Tests","navigation/navigation.spec.js","",""
"","7152","Verify Admin Page Loaded","chromium","2026-06-03","passed","2026-06-03","Admin Module Tests","admin/admin.spec.js","",""
"","7077","Verify Add Button Visible","chromium","2026-06-03","passed","2026-06-03","Admin Module Tests","admin/admin.spec.js","",""
"","8591","Verify Save Button Visible","chromium","2026-06-03","passed","2026-06-03","Admin Module Tests","admin/admin.spec.js","",""
"","27077","Edit Employee Details","chromium","2026-06-03","passed","2026-06-03","PIM Module Tests","pim/pim.spec.js","",""
"","8315","Verify Search Button Visible","chromium","2026-06-03","passed","2026-06-03","PIM Module Tests","pim/pim.spec.js","",""
"","7760","Verify Cancel Button Visible","chromium","2026-06-03","passed","2026-06-03","Admin Module Tests","admin/admin.spec.js","",""
"","5723","Verify Leave Menu Visible","chromium","2026-06-03","passed","2026-06-03","Leave Module Tests","leave/leave.spec.js","",""
"","5655","Recruitment Menu Visible","chromium","2026-06-03","passed","2026-06-03","Navigation Tests","navigation/navigation.spec.js","",""
"","6274","Verify Dashboard API Response","chromium","2026-06-03","passed","2026-06-03","API Mocking Tests","api/api.spec.js","",""
